k,silhouette_score
22,-0.02717391304347826
21,-0.043478260869565216
20,-0.07065217391304347
19,-0.08423913043478261
18,-0.10597826086956522
17,-0.10597826086956522
3,-0.1608055798581635
2,-0.1613582972189933
16,-0.17391304347826086
5,-0.1776643558452875
14,-0.1863177583286279
15,-0.1875
13,-0.1881888936971795
11,-0.20300069508879176
4,-0.2081789788191541
12,-0.22909987978361052
9,-0.23728734449281436
6,-0.24216005375266886
10,-0.24758648901355776
7,-0.2622254328951623
8,-0.2888915325363432
