"Browsing the Product List"
"Browsing the Catalog"
"Searching the Catalog"
"Browsing the items List"
"Add cart Items"
"Update items in the Cart"
"Remove items from cart"
"View Cart Items"
"Make payment"
"List Order Items"
"View Order Status"
"Confirm Order"
"Get Total amount"
"Change Shipping Info "
"Signing Up"
"Signing In"
"Signout"
"Manage Item"
"Manage Account"
"Manage Order"
"Manage product/category"
